feature	importance
CUMSUM_2_kpss_pvalue_ratio_to_whole_left	0.0032204103
RAW_2_ks_stat	0.0030354564
DIFF_2_jb_pvalue_left	0.0025822446
RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio_to_whole_right	0.0025553703
CUMSUM_4_autocorr_lag1_ratio_to_whole_left	0.0022531995
RAW_2_ad_stat	0.0021285515
RAW_2_ks_pvalue	0.0020299084
RAW_8_quantile_0_4_whole	0.0019993545
RAW_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_whole	0.0018591204
RAW_1_stats_mean_of_rolling_std_whole	0.0018350908
RAW_2_ad_pvalue	0.001825798
CUMSUM_2_kpss_stat_ratio_to_whole_left	0.0017124366
RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio	0.0015383016
RAW_3_linear_trend_r_value_whole	0.0014897106
RAW_2_jb_pvalue_left	0.0014737438
RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_right	0.0014603573
RAW_8_percentage_of_reoccurring_values_to_all_values_ratio	0.0013754315
DIFF_2_shapiro_pvalue_left	0.0013185651
DIFF_2_jb_pvalue_whole	0.0013056415
RAW_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_2_whole	0.0012865033
RAW_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_2_left	0.001264704
CUMSUM_8_agg_linear_trend_attr_slope_chunk_len_10_f_agg_mean_ratio_to_whole_left	0.0012540817
RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_right	0.0012102787
RAW_2_shapiro_pvalue_whole	0.0012076928
RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left	0.0011567865
RAW_8_ratio_value_number_to_time_series_length_contribution_left	0.0011461169
RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_right	0.0011215919
RAW_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_whole	0.0011207511
RAW_7_cond_entropy_whole	0.0011177992
RAW_2_bartlett_pvalue	0.0011058364
RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	0.0010904206
RAW_1_stats_std_whole	0.0010875363
RAW_2_bartlett_stat	0.0010571412
RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.0010557452
RAW_8_quantile_0_6_left	0.0010423515
CUMSUM_2_mannwhitney_stat	0.0010362824
RAW_2_kpss_pvalue_ratio_to_whole_left	0.001034036
RAW_8_ratio_beyond_r_sigma_1_left	0.0010322501
RAW_2_levene_pvalue	0.0010309708
RAW_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_2_whole	0.0010244083
DIFF_2_levene_pvalue	0.0010233612
RAW_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_2_right	0.0010130533
CUMSUM_2_ad_pvalue	0.00100723
DIFF_9_ar_residuals_s1_pred_kurt	0.0010047179
RAW_8_ratio_value_number_to_time_series_length_ratio	0.0009835301
RAW_3_detrend_volatility_normalized_whole	0.0009808172
RAW_1_stats_mean_of_rolling_std_right	0.0009775795
