feature	permutation_importance_mean	permutation_importance_std
cross_mul_RAW_3_detrend_volatility_normalized_whole_RAW_1_stats_std_whole	0.09820426678143299	0.022933114269879096
cross_mul_RAW_1_stats_cv_whole_RAW_1_stats_std_whole	0.06802312650002887	0.012852866328591145
cross_mul_RAW_3_detrend_volatility_normalized_whole_RAW_2_ad_stat	0.0025935520264983468	0.0012186983593426297
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_quantile_0_4_contribution_left	0.002577421418980732	0.0008479668381549592
cross_mul_RAW_3_detrend_volatility_normalized_whole_RAW_8_linear_trend_attr_pvalue_ratio_to_whole_left	0.0022164562860113356	0.000965259653688859
sub_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left_RAW_7_sample_entropy_left	0.0019614559723114587	0.0016527868116193824
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_CUMSUM_2_ad_pvalue	0.001504580468048885	0.00037999236302958155
add_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_index_mass_quantile_q_0_1_right	0.001425439357830437	0.0009119995794140082
cross_mul_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_1_0_ql_0_2_contribution_left	0.0013029123439376878	0.0004226494854518108
cross_mul_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_CUMSUM_5_dominant_freq_ratio_to_whole_right	0.0012346999978887006	0.0005587889067660124
RAW_8_ratio_beyond_r_sigma_1_left	0.0012239771769615416	0.0006844303779167921
cross_mul_RAW_8_benford_correlation_whole_CUMSUM_2_ad_pvalue	0.0011671791599064383	0.0008335928365737455
sub_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_RAW_7_sample_entropy_left	0.0011379230505031424	0.0011312339267086444
sqmul_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_RAW_8_index_mass_quantile_q_0_1_right	0.0009924488488630234	0.0006228043019130217
cross_mul_RAW_3_detrend_volatility_normalized_whole_CUMSUM_10_rpt_cost_rank_diff	0.0009207901255827067	0.0006676883309664752
cross_mul_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	0.0008819137401361099	0.0004739960365075371
CUMSUM_8_change_quantiles_f_agg_var_isabs_False_qh_1_0_ql_0_4_contribution_right	0.0008504444618380226	0.00044584136121302026
sqmul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left	0.0007804180681801031	0.0004488753557800552
div_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.0007358334484746565	0.0009577335732103926
cross_mul_RAW_7_sample_entropy_left_RAW_2_ks_stat	0.0006880793665755902	0.0005953292554289854
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_DIFF_8_quantile_0_4_contribution_left	0.0006223976673882137	0.00030228279443531237
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_1_0_ql_0_2_contribution_left	0.0006191332320445119	0.000531383684992892
cross_mul_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_RAW_2_bartlett_stat	0.0005308643163699255	0.0003685584028678295
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_whole	0.0004993973895109494	0.0004954912072178282
cross_mul_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left_CUMSUM_1_stats_range_ratio_to_whole_left	0.0004973230570244913	0.00040582756959499605
cross_mul_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_RAW_2_bartlett_pvalue	0.00045691108828050276	0.000559112637573731
cross_mul_RAW_7_sample_entropy_left_CUMSUM_2_kpss_pvalue_ratio_to_whole_left	0.000454490317924644	0.0003813793472872879
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_7_katz_fd_whole	0.00043849496404513744	0.0005601392815832347
div_RAW_3_detrend_volatility_normalized_whole_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.0004191165889547233	0.0004148135884727245
cross_mul_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left_CUMSUM_1_stats_max_ratio_to_whole_left	0.00041216309426662327	0.0004976947919947898
add_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	0.0004002195075777437	0.0005524653224578685
cross_mul_RAW_8_benford_correlation_whole_RAW_2_ks_stat	0.00035867593021713274	0.000681113743923361
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_CUMSUM_2_kpss_pvalue_ratio_to_whole_left	0.00034530124744295844	0.00026007765939014036
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_7_approx_entropy_whole	0.00032758701978370273	0.00018095950587072507
sub_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_7_sample_entropy_left	0.00031884329083147313	0.0005999389034430159
cross_mul_RAW_3_detrend_volatility_normalized_whole_RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_contribution_left	0.00031363819514139575	0.0002624225607517452
cross_mul_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_ratio_to_whole_left	0.00031308426510124444	5.582904532044956e-05
RAW_8_ratio_beyond_r_sigma_1_5_whole	0.0003001435728640489	0.0003091118885278549
div_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.00029729887332988203	0.0005350170392488108
cross_mul_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_DIFF_2_bartlett_pvalue	0.00029478667852542606	0.0004864317321058788
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_1_stats_median_ratio	0.0002946074891191475	0.00033595866786276734
